ID,Naturalness,Intelligibility,Context,IncorrectWords,NumberMistakes,ConjunctMistakes,Notes,Preference
T-0001,Human-like,Yes,Not Applicable,,,,,Female
T-0002,Human-like,Yes,Not Applicable,,,,,Equal
T-0003,Human-like,Yes,Not Applicable,,,,,Equal
T-0004,Slightly Robotic,Yes,Not Applicable,ধোয়ে।,,,"""ধোয়"" was pronounced incorrectly",Male
T-0005,Slightly Robotic,Yes,Not Applicable,,,,,Male
T-0006,Slightly Robotic,Yes,Not Applicable,,,,,Male
T-0007,Slightly Robotic,Yes,Not Applicable,,,,,Female
T-0008,Human-like,Yes,Not Applicable,,,,,Equal
T-0009,Human-like,Yes,Yes,,,,,Female
T-0010,Human-like,Yes,Not Applicable,,,,,Female
T-0011,Human-like,Yes,Not Applicable,,,,,Female
T-0012,Human-like,Yes,Not Applicable,,,,,Equal
T-0013,Human-like,Yes,Not Applicable,,,,,Equal
T-0014,Slightly Robotic,Yes,Not Applicable,,,,"could've used intonation in ""খুব ভালো""",Male
T-0015,Human-like,Yes,Not Applicable,,,,,Equal
T-0016,Human-like,Yes,Not Applicable,,,,,Male
T-0017,Slightly Robotic,Yes,Not Applicable,,,,,Equal
T-0018,Human-like,Yes,Not Applicable,,,,,Equal
T-0019,Human-like,Yes,Not Applicable,,,,,Equal
T-0020,Slightly Robotic,Yes,Not Applicable,,,,,Equal
T-0021,Slightly Robotic,Yes,Not Applicable,,,,,Equal
T-0022,Slightly Robotic,Yes,Not Applicable,,,,,Equal
T-0023,Human-like,Yes,Not Applicable,,,,,Female
T-0024,Slightly Robotic,Yes,Not Applicable,,,,,Male
T-0025,Human-like,Yes,Not Applicable,,,,,Equal
T-0026,Human-like,Yes,Not Applicable,,,,,Equal
T-0027,Human-like,Yes,Not Applicable,,,,,Equal
T-0028,Slightly Robotic,Yes,Not Applicable,,,,,Male
T-0029,Slightly Robotic,Yes,Not Applicable,"করোনা,",,,,Male
T-0030,Slightly Robotic,Yes,Not Applicable,,,,,Male
T-0031,Human-like,Yes,Not Applicable,,,,,Equal
T-0032,Human-like,Yes,Not Applicable,,,,,Equal
T-0033,Human-like,Yes,Not Applicable,,,,,Equal
T-0034,Human-like,Yes,Not Applicable,,,,,Equal
T-0035,Human-like,Yes,Not Applicable,,,,,Equal
T-0036,Human-like,Yes,Not Applicable,,,,,Equal
T-0037,Human-like,Yes,Not Applicable,,,,,Equal
T-0038,Human-like,Yes,Not Applicable,,,,,Equal
T-0039,Slightly Robotic,Yes,Not Applicable,,,," Didn't use the punctuation "","" right",Male
T-0040,Slightly Robotic,Yes,Not Applicable,,,,,Male
T-0041,Human-like,Yes,Not Applicable,,,,,Equal
