id,bucket,subcategory,prompt,target_failure
CM001,CodeMix,common_noun,আজকের meeting টা কয়টায় শুরু হবে?,English noun mid-sentence
CM002,CodeMix,common_noun,সকাল দশটার meeting-এ সবাই সময়মতো যোগ দাও।,Hyphenated English noun
CM003,CodeMix,common_noun,কালকের briefing-এর আগে reportটা পড়ে নিও।,English noun with Bangla suffix
CM004,CodeMix,common_noun,আজকে lunch break-এর পরে training হবে।,Two English tokens
CM005,CodeMix,common_noun,নতুন policyটা HR team-কে explain করো।,English noun+verb
CM006,CodeMix,common_noun,এই documentটা print করে desk-এ রেখে দাও।,English noun with command
CM007,CodeMix,common_verb,ফাইলটা আমাকে send করে দাও।,English verb
CM008,CodeMix,common_verb,তুমি updateটা tonight-এর মধ্যে share করবে?,English verbs and time word
CM009,CodeMix,common_verb,ওকে reminderটা forward করে দাও।,English verb cluster
CM010,CodeMix,common_verb,আজকের summaryটা review করে comment দিও।,English noun and verbs
CM011,CodeMix,common_verb,ওরা issueটা resolve করতে পারেনি।,English technical verb
CM012,CodeMix,common_verb,presentationটা finalize করে client-কে mail করো।,Multiple English verbs/nouns
CM013,CodeMix,common_tech,Internet আজ খুব slow চলছে।,English adjectives in Bangla
CM014,CodeMix,common_tech,serverটা restart না করলে login হবে না।,Tech words
CM015,CodeMix,common_tech,আজ appটা বারবার crash করছে।,Tech term crash
CM016,CodeMix,common_tech,browser refresh দিলেও pageটা load হচ্ছে না।,Multiple English tech words
CM017,CodeMix,common_tech,"printer offline দেখাচ্ছে, cableটা check করো।",English mixed with Bangla
CM018,CodeMix,common_tech,এই folderটা shared drive-এ upload করো।,English storage terms
CM019,CodeMix,bangla_suffix,meetingটা শুরু হওয়ার আগে projectorটা on করো।,English roots with Bangla suffix
CM020,CodeMix,bangla_suffix,fileগুলো একসাথে zip করে পাঠাও।,Plural suffix with English token
CM021,CodeMix,bangla_suffix,reportটার শেষ pageটা missing আছে।,Bangla suffix on English words
CM022,CodeMix,bangla_suffix,invoiceটা finance teamকে cc করে দাও।,cc token
CM023,CodeMix,bangla_suffix,taskগুলো board-এ move করা হয়েছে।,English noun plural
CM024,CodeMix,bangla_suffix,linkটা click করলে formটা open হবে।,English verb and noun
CM025,CodeMix,sentence_initial,"Updateটা আগে দাও, তারপর আলোচনা করি।",Sentence-initial English token
CM026,CodeMix,sentence_initial,Meeting শেষে আমাকে call দিও।,Sentence-initial English token
CM027,CodeMix,sentence_initial,Budget draftটা আজই submit করতে হবে।,Sentence-initial English noun
CM028,CodeMix,sentence_initial,Deadline মিস হলে পুরো planটাই পিছিয়ে যাবে।,Sentence-initial English noun
CM029,CodeMix,sentence_final,আজকের আলোচনাটা ছিল খুব productive।,Sentence-final English adjective
CM030,CodeMix,sentence_final,এই সমাধানটা আমার কাছে বেশ practical।,Sentence-final English adjective
CM031,CodeMix,sentence_final,ওর ব্যাখ্যাটা মোটেও clear না।,Sentence-final English adjective
CM032,CodeMix,sentence_final,এই designটা সত্যিই elegant।,Sentence-final English adjective
CM033,CodeMix,acronym,আজ BRAC University-তে workshop আছে।,Uppercase acronym in name
CM034,CodeMix,acronym,UNESCO-এর নতুন reportটা প্রকাশ হয়েছে।,Uppercase acronym with suffix
CM035,CodeMix,acronym,NID update না করলে formটা submit হবে না।,Acronym mid-sentence
CM036,CodeMix,acronym,OTP না দিলে payment complete হবে না।,Common acronym
CM037,CodeMix,acronym,SSC আর HSC-এর result আজ বের হবে।,Two acronyms
CM038,CodeMix,acronym,AI teamটা নতুন POC বানাচ্ছে।,Mixed acronyms
CM039,CodeMix,alphanumeric,Wi-Fi 6 routerটা upstairs-এ বসানো আছে।,Hyphen and number
CM040,CodeMix,alphanumeric,5G network পেলেও speedটা stable না।,Leading digit token
CM041,CodeMix,alphanumeric,H2O filterটা kitchen-এ রাখা আছে।,Chemical alphanumeric
CM042,CodeMix,alphanumeric,A/B test-এর দ্বিতীয় variantটা ভালো কাজ করেছে।,Slash token
CM043,CodeMix,alphanumeric,4K videoটা mobile-এ smooth চলছে না।,Digit+letter token
CM044,CodeMix,alphanumeric,Q2 target পূরণ করতে sales বাড়াতে হবে।,Quarter token
CM045,CodeMix,brand_product,"Zoom না Google Meet, কোনটায় call হবে?",Brand names
CM046,CodeMix,brand_product,"Slack-এ message দাও, email না।",Brand and common noun
CM047,CodeMix,brand_product,GitHub issueটা Linear-এ sync হয়নি।,Brand names
CM048,CodeMix,brand_product,Notion pageটা read-only করে দাও।,Brand token
CM049,CodeMix,brand_product,Excel sheetটা PDF করে পাঠাও।,Common product names
CM050,CodeMix,brand_product,ChatGPT দিয়ে draft বানিয়ে পরে edit করো।,Brand plus verbs
TN001,Normalization,year,বাংলাদেশ ১৯৭১ সালে স্বাধীন হয়।,Year verbalization
TN002,Normalization,year,আমাদের পরের লক্ষ্য ২০৩০ সালের মধ্যে পূরণ করতে হবে।,Future year verbalization
TN003,Normalization,year,চুক্তিটা ২০০১ থেকে ২০০৫ পর্যন্ত কার্যকর ছিল।,Year range
TN004,Normalization,year,"সে ১৯৯৯ সালে জন্মেছে, আর ২০২৪ সালে চাকরি পেয়েছে।",Two years mixed
TN005,Normalization,date,সভাটা ১২/০৩/২০২৬ তারিখে অনুষ্ঠিত হবে।,Slash date
TN006,Normalization,date,আমার পরীক্ষার তারিখ ০১-০৭-২০২৫।,Hyphenated date
TN007,Normalization,date,ডেলিভারির সময় 05-11-2026-এর আগে না।,ASCII digits date
TN008,Normalization,date,"আজ ২১শে ফেব্রুয়ারি ২০২৬, সবাই প্রস্তুত তো?",Ordinal date
TN009,Normalization,time,ট্রেনটা সকাল ১০:৩০-এ ছাড়বে।,Colon time
TN010,Normalization,time,ওষুধটা রাত ০৮:১৫-এ খেতে হবে।,Leading zero time
TN011,Normalization,time,আমাদের call হবে 07:05 pm-এ।,ASCII time with pm
TN012,Normalization,time,ঘড়িতে এখন ১২:০০ বাজে।,Exact hour time
TN013,Normalization,phone,আমার নম্বর ০১৭১১-০০০০০০।,Phone number with dash
TN014,Normalization,phone,অফিসে যোগাযোগ করুন +৮৮০১৭১২-৩৪৫৬৭৮ নম্বরে।,Country code phone
TN015,Normalization,phone,হেল্পলাইন ১৬২৬৩ নম্বরে কল করুন।,Short service number
TN016,Normalization,phone,"OTP হলো ৪৯২৮৬১, কাউকে বলবেন না।",Six-digit OTP
TN017,Normalization,currency,এই বইটার দাম ৳৩৫০।,Bangla taka symbol
TN018,Normalization,currency,"মোট বিল হয়েছে ৳১,২৫০.৫০।",Comma and decimal money
TN019,Normalization,currency,আজ ডলার রেট ছিল $25 না $30?,Dollar amounts
TN020,Normalization,currency,ইউরোতে হিসাব করলে মোট €৪৫.৭৫ হয়।,Euro symbol with decimal
TN021,Normalization,percentage,গত মাসে বিক্রি ১২.৫% বেড়েছে।,Percentage decimal
TN022,Normalization,percentage,ত্রুটির হার ০.০৫% এর নিচে রাখতে হবে।,Small percentage
TN023,Normalization,percentage,উপস্থিতি ৯৮% না হলে সনদ মিলবে না।,Integer percentage
TN024,Normalization,fraction_decimal,"আমি আধা কেজি না, ০.৫ কেজি চিনি চাই।",Decimal quantity
TN025,Normalization,fraction_decimal,রিপোর্টে ৩.১৪ মানটা ঠিক করে লেখো।,Pi-style decimal
TN026,Normalization,fraction_decimal,আজ ১/২ লিটার দুধ আর ১/৪ কেজি চা লাগবে।,Fraction slash
TN027,Normalization,fraction_decimal,ঋণের সুদ ২.৭৫% ধরা হয়েছে।,Percentage decimal
TN028,Normalization,range,ক্লাসে আজ ৫-১০ জন ছাত্র অনুপস্থিত।,Numeric range
TN029,Normalization,range,শিশুদের বয়স ৮–১২ বছরের মধ্যে।,En dash range
TN030,Normalization,range,তাপমাত্রা ২৫-৩০° সেলসিয়াসের মধ্যে থাকবে।,Range with degree
TN031,Normalization,math,যোগফল: ১০ + ৫ = ১৫।,Plus and equals
TN032,Normalization,math,"১২ - ৭ = ৫, এটা খুব সহজ।",Minus operator
TN033,Normalization,math,৬ × ৪ = ২৪ লিখে দাও।,Multiplication symbol
TN034,Normalization,math,২০ ÷ ৫ = ৪ হবে।,Division symbol
TN035,Normalization,math,"যদি x < y হয়, তবে y বড়।",Less-than sign
TN036,Normalization,math,a >= b হলে প্রথম শর্ত পূরণ হবে।,Greater-equal ASCII symbols
TN037,Normalization,unit,আজ তাপমাত্রা ৩২°C।,Degree Celsius
TN038,Normalization,unit,গাড়িটা ৬০ km/h বেগে চলছিল।,Speed unit
TN039,Normalization,unit,প্যাকেটের ওজন ১.২৫ kg।,Weight unit
TN040,Normalization,unit,এই বোতলে ৭৫০ ml পানি আছে।,Milliliter unit
TN041,Normalization,unit,রুমটা ১২ ft × ১০ ft।,Feet unit with multiplication
TN042,Normalization,ordinal,সে পরীক্ষায় ১ম হয়েছে।,Ordinal 1st
TN043,Normalization,ordinal,আজ আমাদের ২১তম বৈঠক।,Ordinal 21st
TN044,Normalization,ordinal,এটা ২য় অধ্যায়ের ৩য় অনুচ্ছেদ।,Multiple ordinals
